groups,teams,played,won,drawn,lost,goals for,goals against,goal difference,points
A, Germany (H),0,0,0,0,0,0,0,0
A, Scotland,0,0,0,0,0,0,0,0
A, Hungary,0,0,0,0,0,0,0,0
A, Switzerland,0,0,0,0,0,0,0,0
B, Spain,0,0,0,0,0,0,0,0
B, Croatia,0,0,0,0,0,0,0,0
B, Italy,0,0,0,0,0,0,0,0
B, Albania,0,0,0,0,0,0,0,0
C, Slovenia,0,0,0,0,0,0,0,0
C, Denmark,0,0,0,0,0,0,0,0
C, Serbia,0,0,0,0,0,0,0,0
C, England,0,0,0,0,0,0,0,0
D,Wales,0,0,0,0,0,0,0,0
D, Netherlands,0,0,0,0,0,0,0,0
D, Austria,0,0,0,0,0,0,0,0
D, France,0,0,0,0,0,0,0,0
E, Belgium,0,0,0,0,0,0,0,0
E, Slovakia,0,0,0,0,0,0,0,0
E, Romania,0,0,0,0,0,0,0,0
E,Ukraine,0,0,0,0,0,0,0,0
F, Turkey,0,0,0,0,0,0,0,0
F,Greece,0,0,0,0,0,0,0,0
F, Portugal,0,0,0,0,0,0,0,0
F, Czechia,0,0,0,0,0,0,0,0
